ID	Gene	GDM category	HGNC_ID	NCBI_ID	MIMNumber		
15972	A1BG	blue	HGNC:5	1	138670		
8772	A1CF	blue	HGNC:24086	29974			
17186	A2M	grey-blue	HGNC:7	2	103950		
8334	A2ML1	grey-red	HGNC:23336	144568	610627		
13018	A3GALT2	blue	HGNC:30005	127550			
5411	A4GALT	grey-blue	HGNC:18149	53947	607922		
5259	A4GNT	blue	HGNC:17968	51146	616709		
2377	AAAS	red	HGNC:13666	8086	605378		
7452	AACS	blue	HGNC:21298	65985	614364		
3624	AADAC	blue	HGNC:17	13	600338		
9009	AADACL2	blue	HGNC:24427	344752			
13795	AADACL3	blue	HGNC:32037	126767			
13796	AADACL4	blue	HGNC:32038	343066			
5229	AADAT	blue	HGNC:17929	51166	611754		
4771	AAED1	blue	HGNC:16881	195827			
10229	AAGAB	red	HGNC:25662	79719	614888		
6393	AAK1	blue	HGNC:19679	22848	616405		
13144	AAMDC	blue	HGNC:30205	28971			
5283	AAMP	blue	HGNC:18	14	603488		
6016	AANAT	blue	HGNC:19	15	600950		
4048	AAR2	blue	HGNC:15886	25980			
14316	AARD	blue	HGNC:33842	441376			
6603	AARS	grey-red	HGNC:20	16	601065		
7270	AARS2	red	HGNC:21022	57505	612035		
11838	AARSD1	blue	HGNC:28417	80755	613212		
8702	AASDH	blue	HGNC:23993	132949	614365		
2699	AASDHPPT	blue	HGNC:14235	60496	607756		
4884	AASS	red	HGNC:17366	10157	605113		
6192	AATF	blue	HGNC:19235	26574	608463		
7258	AATK	blue	HGNC:21	9625	605276		
8110	ABAT	red	HGNC:23	18	137150		
12258	ABCA1	red	HGNC:29	19	600046		
13013	ABCA10	blue	HGNC:30	10349	612508		
2990	ABCA12	red	HGNC:14637	26154	607800		
2991	ABCA13	grey-blue	HGNC:14638	154664	607807		
13782	ABCA2	blue	HGNC:32	20	600047		
14032	ABCA3	red	HGNC:33	21	601615		
14384	ABCA4	red	HGNC:34	24	601691		
14563	ABCA5	grey-blue	HGNC:35	23461	612503		
14673	ABCA6	blue	HGNC:36	23460	612504		
14752	ABCA7	grey-blue	HGNC:37	10347	605414		
