GOLGA6L6	ENST00000427390
POTEB2	ENST00000454856
SECISBP2L	ENST00000559471
POTEB	ENST00000439682
TPTE	ENST00000361285
POTED	ENST00000299443
LDLRAD4	ENST00000361205
LIPI	ENST00000344577
RBM11	ENST00000400577
OR4M2	ENST00000332663
OR4N4	ENST00000328795
HSPA13	ENST00000285667
GOLGA6L1	ENST00000316397
COPS2	ENST00000299259
SAMSN1	ENST00000285670
TUBGCP5	ENST00000283645
NRIP1	ENST00000400202
RMDN3	ENST00000260385
GCHFR	ENST00000260447
DNAJC17	ENST00000220496
FAM210A	ENST00000322247
USP25	ENST00000285679
ST8SIA5	ENST00000315087
C21orf37	ENST00000440664
CXADR	ENST00000284878
RNMT	ENST00000383314
PIAS2	ENST00000585916
GALK2	ENST00000560031
BTG3	ENST00000339775
C15orf62	ENST00000344320
EPPIN-WFDC6	ENST00000504988
WFDC8	ENST00000357199
TPM1	ENST00000358278
WFDC9	ENST00000326000
C21orf91	ENST00000284881
CRTC3	ENST00000268184
ZFYVE19	ENST00000355341
CSTF1	ENST00000217109
CHODL	ENST00000299295
WFDC10A	ENST00000372643
CYFIP1	ENST00000313077
WFDC11	ENST00000356562
WFDC10B	ENST00000335769
TMPRSS15	ENST00000284885
WFDC13	ENST00000305479
SPINT4	ENST00000279058
IDH3B	ENST00000380843
KATNAL2	ENST00000245121
WFDC3	ENST00000243938
CASS4	ENST00000371336
NCAM2	ENST00000400546
PPP1R14D	ENST00000427255
FAM227B	ENST00000299338
MC5R	ENST00000324750
MC2R	ENST00000327606
LACTB	ENST00000261893
BLM	ENST00000355112
MRPL39	ENST00000307301
ZNF519	ENST00000590202
CTSZ	ENST00000217131
RTFDC1	ENST00000023939
SPINT1	ENST00000344051
EBF4	ENST00000380648
TUBB1	ENST00000217133
FGF7	ENST00000267843
POTEC	ENST00000358970
DNTTIP1	ENST00000372622
TCEB3CL2	ENST00000591973
JAM2	ENST00000400532
ATP5E	ENST00000243997
TCEB3CL	ENST00000451265
RPS27L	ENST00000330964
TCEB3C	ENST00000330682
TCEB3B	ENST00000332567
FOXD4	ENST00000382500
RAB8B	ENST00000321437
UBE2C	ENST00000356455
GCNT7	ENST00000243913
SLMO2	ENST00000355937
HDHD2	ENST00000300605
ATP5J	ENST00000457143
ZBTB26	ENST00000373656
FAM209A	ENST00000371328
DTWD1	ENST00000251250
CPXM1	ENST00000380605
FAM209B	ENST00000371325
RHOV	ENST00000220507
FURIN	ENST00000268171
NIPA2	ENST00000337451
GABPA	ENST00000354828
TFAP2C	ENST00000201031
ZNF831	ENST00000371030
TNNC2	ENST00000372555
VPS18	ENST00000220509
APH1B	ENST00000261879
RABGAP1	ENST00000373647
IER3IP1	ENST00000256433
EDN3	ENST00000337938
DLL4	ENST00000249749
TMEM239	ENST00000380585
ANKRD30B	ENST00000358984
BMP7	ENST00000395863
SKOR2	ENST00000425639
C20orf141	ENST00000380589
GPR21	ENST00000373642
CBWD1	ENST00000356521
PCED1A	ENST00000360652
SMAD2	ENST00000402690
ATP8B4	ENST00000284509
STRBP	ENST00000447404
FES	ENST00000328850
NIPA1	ENST00000337435
SPO11	ENST00000371263
CA12	ENST00000178638
PHACTR3	ENST00000371015
C9orf66	ENST00000382387
ROCK1	ENST00000399799
CHAC1	ENST00000446533
SNX21	ENST00000491381
CRB2	ENST00000373631
RAE1	ENST00000395841
VPS16	ENST00000380445
GOLGA8I	ENST00000450802
APP	ENST00000346798
ACOT8	ENST00000217455
INO80	ENST00000361937
SLC27A2	ENST00000267842
TUBA3C	ENST00000400113
MTRNR2L3	ENST00000543500
RBM38	ENST00000356208
DOCK8	ENST00000453981
DENND1A	ENST00000373624
GREB1L	ENST00000580732
CYYR1	ENST00000299340
SYCP2	ENST00000357552
HDC	ENST00000267845
TPTE2	ENST00000400230
USP3	ENST00000380324
ZBTB7C	ENST00000588982
ADAMTS1	ENST00000284984
LHX2	ENST00000373615
ADAMTS5	ENST00000284987
GOLGA8S	ENST00000562295
MPHOSPH8	ENST00000361479
EXD1	ENST00000314992
N6AMT1	ENST00000303775
MAN2A2	ENST00000360468
KANK1	ENST00000382303
PSPC1	ENST00000338910
GOLGA6L2	ENST00000567107
NEK6	ENST00000373600
DMRT1	ENST00000382276
GABPB1	ENST00000220429
MKRN3	ENST00000314520
CTIF	ENST00000382998
DMRT3	ENST00000190165
ZMYM5	ENST00000382905
IGLL1	ENST00000330377
LTN1	ENST00000389194
MAGEL2	ENST00000532292
NDN	ENST00000331837
ZSWIM3	ENST00000255152
PSMB7	ENST00000259457
NPAP1	ENST00000329468
DMRT2	ENST00000382251
ZSWIM1	ENST00000372523
CTCFL	ENST00000423479
CHP1	ENST00000334660
SPATA25	ENST00000372519
NEURL2	ENST00000372518
GPR144	ENST00000334810
OIP5	ENST00000220514
C22orf43	ENST00000317749
RWDD2B	ENST00000493196
NR5A1	ENST00000373588
SMAD7	ENST00000262158
FAM217B	ENST00000358293
PTPRA	ENST00000380393
PPP1R3D	ENST00000370996
SNRPN	ENST00000400100
NR6A1	ENST00000487099
CDH26	ENST00000348616
RGL4	ENST00000290691
CTSA	ENST00000372484
OLFML2A	ENST00000373580
USP16	ENST00000334352
ESCO1	ENST00000269214
ZMYM2	ENST00000382869
NUSAP1	ENST00000559596
FBXL22	ENST00000360587
WDR38	ENST00000373574
SMARCA2	ENST00000382203
RPL35	ENST00000348462
ARPC5L	ENST00000353214
C20orf197	ENST00000313426
ZNF70	ENST00000341976
SNRPD1	ENST00000300413
VPREB3	ENST00000248948
USP8	ENST00000433963
CDH4	ENST00000360469
GOLGA1	ENST00000373555
C22orf15	ENST00000402217
PPP1R3B	ENST00000310455
HERC1	ENST00000443617
ABHD3	ENST00000289119
CHCHD10	ENST00000484558
PCK1	ENST00000319441
GJA3	ENST00000241125
DYM	ENST00000269445
GJB2	ENST00000382844
UNC45A	ENST00000418476
PIN4	ENST00000373669
MMP11	ENST00000215743
GJB6	ENST00000356192
SCAI	ENST00000373549
CCT8	ENST00000286788
TNKS	ENST00000310430
TAF4	ENST00000252996
VLDLR	ENST00000382100
ERCC6L	ENST00000334463
CRYL1	ENST00000298248
DAPK2	ENST00000261891
NDUFAF1	ENST00000260361
SMARCB1	ENST00000263121
RPS4X	ENST00000316084
C18orf32	ENST00000318240
GNRH2	ENST00000245983
PPP6C	ENST00000451402
RTF1	ENST00000389629
MIB1	ENST00000261537
ZBP1	ENST00000371173
FAM96A	ENST00000300030
DERL3	ENST00000406855
KCNV2	ENST00000382082
RPL17-C18orf32	ENST00000584895
MRPS26	ENST00000380325
OXT	ENST00000217386
LSM14B	ENST00000279068
USP50	ENST00000532404
AVP	ENST00000380293
RABEPK	ENST00000373538
PPAPDC1B	ENST00000424479
SLC35A2	ENST00000247138
KIAA0020	ENST00000397885
IFT88	ENST00000319980
HSPA5	ENST00000324460
MAP3K7CL	ENST00000399947
SNURF	ENST00000551312
PMEPA1	ENST00000341744
MSRA	ENST00000317173
IL17D	ENST00000304920
SNX1	ENST00000261889
SLC2A11	ENST00000398356
TRPM7	ENST00000313478
TAPT1	ENST00000405303
N6AMT2	ENST00000382758
RPL17	ENST00000418495
PIM2	ENST00000376509
PSMA7	ENST00000370873
UBE3A	ENST00000397954
C8orf59	ENST00000417663
BACH1	ENST00000399921
C20orf85	ENST00000371168
RFX3	ENST00000382004
PLTP	ENST00000477313
ITPKA	ENST00000260386
ANKRD60	ENST00000457363
XPO4	ENST00000255305
NKRF	ENST00000542113
UBOX5	ENST00000217173
OTUD5	ENST00000156084
AGO2	ENST00000220592
CYHR1	ENST00000438911
CITED1	ENST00000453707
MIF	ENST00000215754
GATA6	ENST00000269216
FASTKD5	ENST00000380266
PPP4R1L	ENST00000493688
LTK	ENST00000263800
GSTT2B	ENST00000290765
CTAGE1	ENST00000391403
GLIS3	ENST00000381971
LATS2	ENST00000382592
DDTL	ENST00000215770
PRSS55	ENST00000328655
DDRGK1	ENST00000354488
DDT	ENST00000398344
SS18L1	ENST00000331758
SAP18	ENST00000382533
GC	ENST00000504199
RP1L1	ENST00000382483
GSTT2	ENST00000215780
C8orf74	ENST00000304519
GRIK1	ENST00000399907
ITPA	ENST00000380113
GAPVD1	ENST00000394105
LIPG	ENST00000261292
SKA3	ENST00000314759
SOX7	ENST00000304501
SLC1A1	ENST00000262352
RAB33B	ENST00000305626
GSTT1	ENST00000248935
RBBP8	ENST00000399722
SPPL2A	ENST00000261854
HDDC3	ENST00000330334
RAB22A	ENST00000244040
WHSC1L1	ENST00000317025
SNX22	ENST00000325881
GRIK1-AS2	ENST00000333765
