POLR3B	ENST00000228347
APPL2	ENST00000551662
WASHC4	ENST00000620430
SCHIP1	ENST00000445224
A2ML1	ENST00000299698
FDPS	ENST00000356657
F11	ENST00000403665
COX6A1	ENST00000229379
SRSF9	ENST00000229390
TRIAP1	ENST00000546954
NR0B2	ENST00000254227
HAVCR1	ENST00000625904
DNTTIP2	ENST00000436063
ELOA	ENST00000418390
SHC1	ENST00000448116
ENTPD4	ENST00000358689
MRPL22	ENST00000523037
TP53BP1	ENST00000382044
ID3	ENST00000374561
ANKS1B	ENST00000547776
AREL1	ENST00000356357
NOX5	ENST00000388866
CREB3L4	ENST00000368607
ABCF3	ENST00000429586
PHF5A	ENST00000216252
RCVRN	ENST00000226193
CRYZL1	ENST00000381554
TFDP2	ENST00000489671
S100A7	ENST00000368723
S100A12	ENST00000368737
PGLYRP4	ENST00000359650
REG4	ENST00000354219
SPRR2E	ENST00000368751
SPRR4	ENST00000328051
LDLRAD1	ENST00000371360
SMCP	ENST00000368765
CCER1	ENST00000358859
SFTA2	ENST00000359086
PRDM2	ENST00000235372
GPRIN3	ENST00000609438
C1orf210	ENST00000523677
SQSTM1	ENST00000389805
UBA3	ENST00000361055
CAV3	ENST00000343849
C13orf46	ENST00000636427
OR6C75	ENST00000641576
OR6C3	ENST00000641364
COL16A1	ENST00000373672
VPS72	ENST00000354473
SCTR	ENST00000019103
NCL	ENST00000322723
HPS3	ENST00000296051
KCNMB3	ENST00000314235
CLSTN2	ENST00000458420
OR9K2	ENST00000305377
LRRC38	ENST00000376085
KIAA1109	ENST00000264501
ARHGAP20	ENST00000260283
APOL2	ENST00000249066
HIVEP2	ENST00000367604
PRAMEF17	ENST00000376098
MFAP3L	ENST00000361618
TMEM94	ENST00000375248
TES	ENST00000358204
ACTBL2	ENST00000423391
TECPR2	ENST00000359520
IWS1	ENST00000295321
MRPS21	ENST00000581066
YEATS2	ENST00000305135
CPB1	ENST00000491148
GALC	ENST00000261304
LEMD2	ENST00000293760
NTRK3	ENST00000360948
PIK3IP1	ENST00000215912
EGR3	ENST00000317216
DCUN1D5	ENST00000260247
PRPF3	ENST00000324862
PATZ1	ENST00000266269
DYM	ENST00000269445
TNFRSF10B	ENST00000276431
CHAD	ENST00000508540
ANKRD9	ENST00000286918
TCTN1	ENST00000397659
LHX5	ENST00000261731
ACSF2	ENST00000427954
ZYG11A	ENST00000371528
RBX1	ENST00000216225
CCER2	ENST00000571838
SP7	ENST00000536324
BPIFA2	ENST00000253362
ZNF69	ENST00000340180
CDC7	ENST00000428239
PLRG1	ENST00000499023
NR1D1	ENST00000246672
TSPAN33	ENST00000486685
KIAA1551	ENST00000312561
NDUFS8	ENST00000313468
ZNF700	ENST00000622593
FOXC2	ENST00000320354
RPRD2	ENST00000369068
THRA	ENST00000264637
FOXL1	ENST00000320241
ZNF763	ENST00000343949
CCNA2	ENST00000274026
LTA4H	ENST00000228740
CRYBG2	ENST00000475866
TMEM181	ENST00000367090
PPM1H	ENST00000228705
EXOSC9	ENST00000379663
PEBP4	ENST00000256404
SNRNP40	ENST00000263694
DEPDC7	ENST00000241051
EP300	ENST00000263253
RHOBTB2	ENST00000519685
UBAC1	ENST00000371756
ARMC9	ENST00000611582
MAP6D1	ENST00000318631
MESP1	ENST00000300057
SP1	ENST00000327443
DDX51	ENST00000397333
TRIP10	ENST00000313244
DYNLT1	ENST00000367089
ZNF572	ENST00000319286
PARL	ENST00000317096
CASKIN2	ENST00000321617
TARS2	ENST00000369064
HERC3	ENST00000402738
FANK1	ENST00000368693
MED24	ENST00000501516
CYP4B1	ENST00000371923
PABPC4	ENST00000372858
HSBP1L1	ENST00000451882
PRAMEF12	ENST00000357726
AGPAT4	ENST00000320285
TXNL4A	ENST00000269601
PRAMEF1	ENST00000332296
PPARA	ENST00000407236
FBXO31	ENST00000311635
SPDYE6	ENST00000563237
HVCN1	ENST00000356742
PRAMEF11	ENST00000619922
PIGY	ENST00000527353
PYURF	ENST00000273968
FDX1	ENST00000260270
HIPK1	ENST00000369558
NAP1L5	ENST00000323061
MESP2	ENST00000341735
C16orf95	ENST00000567970
HNRNPCL1	ENST00000317869
CFAP52	ENST00000352665
SESTD1	ENST00000428443
SMO	ENST00000249373
ADSSL1	ENST00000332972
PRAMEF2	ENST00000240189
ECHDC2	ENST00000371522
PHKA1	ENST00000373542
TGFBR3	ENST00000212355
YBX1	ENST00000321358
KLRG2	ENST00000340940
MAP1LC3B	ENST00000268607
SLC38A3	ENST00000614032
ANPEP	ENST00000300060
MRPS12	ENST00000407800
ABCD4	ENST00000356924
FBXO17	ENST00000292852
FCGRT	ENST00000221466
USP43	ENST00000285199
FSD2	ENST00000334574
CYB561	ENST00000582997
SARS2	ENST00000600042
ACKR3	ENST00000272928
CLEC2L	ENST00000422142
PPP1CC	ENST00000340766
PTAFR	ENST00000373857
RBM19	ENST00000545145
EPB42	ENST00000568508
COL8A1	ENST00000261037
PRAMEF6	ENST00000376189
DNAJC8	ENST00000263697
PRAMEF7	ENST00000616979
RCOR1	ENST00000262241
PRAMEF10	ENST00000235347
ANGPTL6	ENST00000253109
PRAMEF4	ENST00000235349
ATP5IF1	ENST00000335514
C19orf66	ENST00000253110
CDPF1	ENST00000314567
QPCTL	ENST00000012049
ZCCHC17	ENST00000615916
TMEM62	ENST00000260403
SNRPD2	ENST00000342669
AMHR2	ENST00000257863
DENND6B	ENST00000413817
DIP2B	ENST00000301180
SEMA4D	ENST00000450295
SYTL3	ENST00000611299
ANKRD7	ENST00000265224
GYG1	ENST00000345003
TMCO3	ENST00000434316
TENM4	ENST00000278550
C1QC	ENST00000374639
SLC6A15	ENST00000266682
CCNDBP1	ENST00000300213
RTP5	ENST00000343216
TBL1XR1	ENST00000430069
NOC4L	ENST00000330579
CALD1	ENST00000361675
C8orf33	ENST00000331434
ECE1	ENST00000374893
C1QB	ENST00000314933
SQLE	ENST00000265896
ECM1	ENST00000369049
BICD1	ENST00000281474
BPIFA3	ENST00000375454
TBX5	ENST00000310346
ZNF683	ENST00000436292
KCND2	ENST00000331113
FOXL2	ENST00000330315
PDE12	ENST00000311180
IQCG	ENST00000265239
COPS8	ENST00000354371
FOXL2NB	ENST00000383165
CALM2	ENST00000272298
MKKS	ENST00000347364
NACC2	ENST00000277554
FGB	ENST00000302068
ABTB1	ENST00000232744
SKAP2	ENST00000345317
PKDREJ	ENST00000253255
NAGA	ENST00000396398
TMEM250	ENST00000418388
CDK2	ENST00000266970
ADGRG6	ENST00000367609
TBX3	ENST00000257566
ADCY5	ENST00000462833
PCM1	ENST00000325083
WHAMM	ENST00000286760
NEK1	ENST00000507142
LIN28A	ENST00000326279
WBP2NL	ENST00000328823
CSTF3	ENST00000323959
STPG4	ENST00000445927
RPL35A	ENST00000464167
CHKA	ENST00000265689
EN1	ENST00000295206
RPAP3	ENST00000005386
CLDN19	ENST00000296387
COLEC10	ENST00000332843
TTC7A	ENST00000394850
TRAF3	ENST00000560371
MCL1	ENST00000369026
SPG7	ENST00000645818
TCP11L1	ENST00000334274
ZNF860	ENST00000360311
P3H1	ENST00000236040
MRPS22	ENST00000495075
ADAMTSL4	ENST00000369039
CD164	ENST00000310786
ABCC5	ENST00000334444
TCIRG1	ENST00000265686
AVPR1A	ENST00000299178
OSBPL10	ENST00000396556
EZR	ENST00000367075
HACD2	ENST00000383657
CCDC63	ENST00000308208
PMEL	ENST00000449260
PRKRIP1	ENST00000496391
PRR23B	ENST00000329447
EPHB2	ENST00000400191
PRR23C	ENST00000413199
PRR23A	ENST00000383163
ZNF878	ENST00000547628
GALNT9	ENST00000328957
COPB2	ENST00000333188
ZNF433	ENST00000344980
LHX3	ENST00000371746
MGLL	ENST00000265052
PRAMEF27	ENST00000436041
TTC38	ENST00000381031
MARCO	ENST00000327097
HNRNPCL3	ENST00000617807
PRAMEF25	ENST00000614839
ENSA	ENST00000339643
MYLK	ENST00000360304
STK25	ENST00000316586
FBRSL1	ENST00000434748
PISD	ENST00000382151
C11orf80	ENST00000360962
AHCYL2	ENST00000325006
MCFD2	ENST00000409105
TSPAN19	ENST00000532498
WASHC5	ENST00000318410
