#GENE SYNS
ASIC1	ACCN2,BNaC2,hBNaC2
RGS4	SCZD9
RGS5	.
RGS6	.
RGS7	.
RGS9	MGC111763,MGC26458,PERRS,RGS9L
RHAG	CD241,RH50A,SLC42A1
RHBDL1	RHBDL,RRP
RHCE	RH,CD240CE
RHD	RH,CD240D,DIIIc,Rh30a,Rh4,RhII,RhPI
BCL6	ZNF51,BCL5,BCL6A,LAZ3,ZBTB27
RHEB	RHEB2
RHO	RP4,CSNBAD1,OPN2
GRK1	RHOK,GPRK1,RK
RIT2	RIN,RIBA
RING1	RNF1
RIPK1	RIP
BCL6B	ZNF62,BAZF,ZBTB28
RIPK2	CARD3,CARDIAK,RICK,RIP2
RIPK3	RIP3
RIT1	RIT,MGC125864,MGC125865,RIBB,ROC1
RLBP1	CRALBP
RLF	Zn-15L,ZNF292L
RLN1	H1
RLN2	bA12D24.1.1,bA12D24.1.2,H2,RLXH2
BCL7A	BCL7
RNASE1	RNS1,RAC1
RNASE2	RNS2,EDN,RAF3
RNASE3	RNS3,ECP,RAF1
RNASE4	RAB1
RNASE6	RNS6,RAD1,RNaseK6
BCL7B	.
RNASEL	PRCA1,RNS4
RNF10	KIAA0262,RIE2
RNF11	CGI-123,MGC51169,Sid1669p
RNF13	RZF
RNF14	ARA54,HFB30,TRIAD2
TRIM38	RNF15,RORET
BCL7C	.
RNF17	TDRD4,FLJ11045,Mmip-2,SPATA23
RNF2	BAP1,BAP-1,DING,HIPI3,RING1B,RING2
RNF20	BRE1,BRE1A,FLJ11189,FLJ20382,hBRE1,KAIA2779
TRIM34	RNF21
TRIM3	RNF22,BERP,HAC1,RNF97
TRIM39	RNF23
PCGF3	RNF3,DONG1,FLJ36550,MGC40413,RNF3A
RNF4	RES4-26,SLX5,SNURF
RNF5	G16,NG2,RING5,RMA1
RNF6	DKFZp686P0776
RNF7	CKBBP1,ROC2,SAG
RNF8	KIAA0646
TRIM10	RNF9,HERF1,RFB30
RNGTT	hCAP,HCE,HCE1
RNH1	RNH,RAI
RNMT	RG7MT1
RNPEP	APB
RNPEPL1	.
BCL9	.
RNPS1	.
ASIC3	ACCN3,DRASIC,TNaC1
OPN1SW	BCP,BOP,CBT
BCR	D22S11,ALL,CML,D22S662,PHL,ALL,CML,D22S662,PHL
CNNM1	ACDP1
BCS1L	BCS,BJS,h-BCS,Hs.6719
PHAX	RNUXA,FLJ13193
ROBO1	DUTT1,FLJ21882,SAX3
ROBO2	KIAA1568
ROCK1	p160ROCK
ROCK2	.
PTBP3	ROD1,DKFZp781I1117
ROM1	ROM,TSPAN23
ROR1	NTRKR1
ROR2	BDB1,NTRKR2
RORA	NR1F1,ROR1,ROR2,ROR3,RZRA
RORB	NR1F2,ROR-BETA,RZRB
RORC	NR1F3,RORG,RZRG,TOR
ROS1	c-ros-1,MCF3,ROS
RP1	DCDC4A,ORP1
BDH1	BDH,SDR9C1
RP2	NM23-H10,NME10,TBCCD2
RP9	PAP-1
RPA1	HSSB,REPA1,RF-A,RP-A,RPA70
BDKRB1	B1BKR,BKR1,bradyb1
RPA2	.
RPA3	REPA3
RPE	.
RPE65	RP20,BCO3,LCA2,rd12
RPGR	RP15,RP3,CORDX1,CORDX1,CORDX1,CORDX1
RPH3AL	Noc2
RPIA	.
RPL10	DXS648,DXS648E,FLJ23544,L10,NOV,QM
RPL10A	NEDD6,Csa-19,L10A
CNNM2	ACDP2
BDKRB2	BK-2
RPL11	L11,uL5
RPL12	L12
RPL13	BBC1,D16S444E,L13
RPL13A	TSTA1,L13A
RPL14	CTG-B33,hRL14,L14,RL14
RPL15	EC45,L15,RPL10,RPLY10,RPYL10
RPL17	L17,rpL23
RPL18	L18
RPL18A	L18A
RPL19	DKFZp779D216,FLJ27452,L19,MGC71997
RPL21	DKFZp686C06101,FLJ27458,L21,MGC104274,MGC104275,MGC71252
RPL22	EAP,L22
RPL23	L23,rpL17
RPL23A	L23A
MRPL23	RPL23L,L23MRP
RPL24	L24
RPL26	L26
RPL27	L27
RPL27A	L27A
BDNF	.
RPL28	FLJ43307,L28
RPL29	RPL29P10,HIP,HUMRPL29,L29
RPL3	L3
RPL30	L30
RPL31	L31
RPL32	L32
BECN1	ATG6,VPS30
RPL34	L34
RPL35	L35
RPL35A	eL33,GIG33,L35A
RPL36AL	RPL36A
RPL37	L37
RPL37A	L37A
RPL38	L38
RPL39	RPL39P42,L39
RPL3L	.
RPL4	L4
RPL41	L41
RPL36A	RPL44,L36A
BEX1	.
RPL5	L5,PPP1R135,uL18
RPL6	TXREB1,L6,TAXREB107
RPL7	humL7-1,L7
RPL7A	L7A,SURF3,TRUP
RPL8	L8
RPL9	L9
CFB	BF,BFD,H2-Bf,H2-Bf
RPLP0	L10E,LP0,P0,PRLP0,RPP0
RPLP1	LP1
RPLP2	D11S2243E,LP2,MGC71408,P2,RPP2
MRPL12	RPML12,MRPL7,MRPL7/L12
MRPL3	RPML3,MRL3
MRPS12	RPMS12,RPS12,RPSM12
RPN1	OST1
RPN2	RIBIIR,RPNII,RPN-II,SWP1
RPS10	MGC88819,S10
RPS11	S11
RPS12	S12
RPS13	S13
RPS14	EMTB,S14
RPS15	MGC111130,RIG,S15
RPS15A	S15A
RPS16	S16
RPS17	RPS17L,MGC72007,RPS17L1,RPS17L2,S17
CNNM3	ACDP3
BFSP1	CP115,CP94,filensin,LIFL-H
RPS18	D6S218E,HKE3,KE3,KE-3,S18
RPS19	DBA,eS19,S19
RPS2	LLREP3,S2
RPS20	S20,uS10
RPS21	S21
BFSP2	CP47,CP49,LIFL-L,phakinin
RPS23	S23,uS12
RPS24	eS24,S24
RPS25	S25
RPS26	eS26,S26
RPS27	MPS1,MPS-1,S27
RPS27A	S27A,Uba80,UBCEP80
RPS28	eS28,S28
RPS29	S29,uS14
RPS3	FLJ26283,FLJ27450,MGC87870,S3
RPS3A	MFTL,S3A
RPS4X	CCG2,DXS306,FLJ40595,RPS4,S4,SCAR,SCR10
RPS4Y1	RPS4Y,MGC119100,MGC5070,S4
RPS5	S5
RPS6	S6
BGLAP	OCN
RPS6KA1	HU-1,p90Rsk,RSK1
RPS6KA2	HU-2,RSK3
RPS6KA3	MRX19,HU-3,RSK2,HU-3,RSK2
RPS6KA4	MSK2,RSK-B
RPS6KA5	MSK1,RLPK
RPS6KA6	RSK4
RPS6KB1	STK14A,p70(S6K)-alpha,PS6K,S6K,S6K1
RPS6KB2	KLS,P70-BETA,p70S6Kb,S6KÎ²,S6KB,S6Kbeta,STK14B
RPS6KC1	humS6PKh1,RSKL1
BGN	DSPG1,SLRR1A
RPS7	eS7,S7
RPS8	S8
RPS9	S9
CNOT9	RQCD1,CAF40,CT129,RCD1,RCD1+
RRAD	RAD,REM3
RRAS	R-Ras
RRBP1	ES/130,hES
RREB1	HNT
RRH	peropsin
RRM1	.
RRM2	.
RS1	RS,XLRS1
RSC1A1	RS1
BHLHE40	STRA13,37226,bHLHe40,Clast5,SHARP2,37226,bHLHe40,Clast5,SHARP2
CLIP1	RSN,CLIP,CLIP170,CLIP-170,CYLN1
RSU1	FLJ31034,RSP-1
RTKN	B5
RTN1	NSP
RTN2	SPG12,NSP2,NSPL1
RTN3	ASYIP,HAP,NSPL2,NSPLII,RTN3-A1
BHMT	BHMT1
RUNX1	CBFA2,AMLCR1,PEBP2A2,AMLCR1,PEBP2A2
RUNX2	CCD1,AML3,PEBP2A1,PEBP2aA1,AML3,PEBP2A1,PEBP2aA1,AML3,PEBP2A1,PEBP2aA1
RUNX3	CBFA3,AML2,PEBP2A3
RUVBL1	ECP54,INO80H,NMP238,Pontin52,RVB1,Rvb1,TIH1,TIP49,TIP49a
RUVBL2	ECP51,INO80J,Reptin52,RVB2,Rvb2,TIH2,TIP48,TIP49b
RXRA	NR2B1
RXRB	H-2RIIBP,NR2B2,RCoR-1
RXRG	NR2B3
BHMT2	.
RYBP	AAP1,DEDAF,YEAF1
RYK	JTK5A,D3S3195,JTK5,RYK1
RYR1	MHS1,PPP1R137,RYR,PPP1R137,RYR,PPP1R137,RYR
RYR2	ARVD2,ARVC2,VTSIP
RYR3	.
S100A1	S100A,S100-alpha
S100A10	CAL1L,42C,CLP11,P11,42C,CLP11,P11
S100A11	S100C
S100A12	CAAF1,CAGC,CGRP,ENRAGE,MRP6,p6
BICD1	.
S100A13	.
S100A2	S100L,CAN19
S100A3	S100E
S100A4	MTS1,18A2,42A,FSP1,P9KA,PEL98,18A2,42A,FSP1,P9KA,PEL98
S100A5	S100D
S100A6	CACY,2A9,CABP,PRA
S100A7	PSOR1,S100A7c
S100A8	CFAG,60B8AG,CGLA,MRP8,P8,60B8AG,CGLA,MRP8,P8
S100A9	CFAG,60B8AG,CGLB,LIAG,MAC387,MIF,MRP14,NIF,P14,60B8AG,CGLB,LIAG,MAC387,MIF,MRP14,NIF,P14
CNNM4	ACDP4,KIAA1592
BID	.
S100B	S100beta
S100P	.
BIK	NBK
SAA1	SAA,PIG4,TP53I4
SAA2	.
SAA4	CSAA,C-SAA
VPS52	SACM2L,ARE1
SACS	ARSACS,DKFZp686B15167,DNAJC29,KIAA0730,PPP1R138,SPAX6
BIN1	AMPHL,AMPH2,SH3P9
SAFB	HET,SAFB1
SAG	ARRESTIN,RP47
ACSM3	SAH,SA
SALL1	TBS,Hsal1,ZNF794
SALL2	Hsal2,KIAA0360,ZNF795
SALL3	ZNF796
SAMSN1	HACS1,NASH1,SASH2,SH3D6B,SLy2
BIN2	BRAP-1
SAP18	2HOR0202,MGC27131,SAP18p
SAP30	.
SAR1A	SARA1,SAR1,Sara
SAR1B	SARA2
SARDH	DMGDHL1,SDH
SARS	SERS
SART1	Ara1,HAF,SNRNP110,Snu66
TSPAN31	SAS
BIN3	.
SAT1	SAT,SSAT
SATB1	.
SBF1	DENND7A,MTMR5
MSMO1	SC4MOL,DESP4,ERG25
SC5D	SC5DL
ATXN1	SCA1,ATX1,D6S504E
ATXN10	SCA10,E46L,FLJ37990
BLCAP	BC10
ATXN2	SCA2,TNRC13,ATX2,ATX2
ATXN7	SCA7,ADCAII,OPCA3
SCAMP1	SCAMP37
SCAMP2	.
SCAMP3	C1orf3
