Gene	NMStem
AIP	NM_003977
ALK	NM_004304
APC	NM_000038
ATM	NM_000051
BAP1	NM_004656
BLM	NM_000057
BMPR1A	NM_004329
BRCA1	NM_007294
BRCA2	NM_000059
BRIP1	NM_032043
BUB1B	NM_001211
CDC73	NM_024529
CDH1	NM_004360
CDK4	NM_000075
CDKN1C	NM_000076
CDKN2A	NM_058195,NM_000077
CEBPA	NM_004364
CEP57	NM_014679
CHEK2	NM_007194
CYLD	NM_015247
DDB2	NM_000107
DICER1	NM_177438
DIS3L2	NM_152383
EGFR	NM_005228
EPCAM	NM_002354
ERCC2	NM_000400
ERCC3	NM_000122
ERCC4	NM_005236
ERCC5	NM_000123
EXT1	NM_000127
EXT2	NM_000401
EZH2	NM_004456
FANCA	NM_000135
FANCB	NM_001018113
FANCC	NM_000136
FANCD2	NM_033084
FANCE	NM_021922
FANCF	NM_022725
FANCG	NM_004629
FANCI	NM_001113378
FANCL	NM_001114636
FANCM	NM_020937
FH	NM_000143
FLCN	NM_144997
GATA2	NM_032638
GPC3	NM_004484
HNF1A	NM_000545
HOXB13	NM_006361
HRAS	NM_005343
KIT	NM_000222
MAX	NM_002382
MEN1	NM_000244
MET	NM_001127500
MITF	NM_000248
MLH1	NM_000249
MSH2	NM_000251
MSH6	NM_000179
MUTYH	NM_001128425
NBN	NM_002485
NF1	NM_001042492
NF2	NM_000268
NSD1	NM_022455
PALB2	NM_024675
PHOX2B	NM_003924
PMS1	NM_000534
PMS2	NM_000535
PPM1D	NM_003620
PRF1	NM_001083116
PRKAR1A	NM_002734
PTCH1	NM_000264
PTEN	NM_000314
RAD51C	NM_058216
RAD51D	NM_002878
RB1	NM_000321
RECQL4	NM_004260
RET	NM_020975
RHBDF2	NM_024599
RUNX1	NM_001754
SBDS	NM_016038
SDHAF2	NM_017841
SDHB	NM_003000
SDHC	NM_003001
SDHD	NM_003002
SLX4	NM_032444
SMAD4	NM_005359
SMARCB1	NM_003073
STK11	NM_000455
SUFU	NM_016169
TMEM127	NM_017849
TP53	NM_000546
TSC1	NM_000368
TSC2	NM_000548
VHL	NM_000551
WT1	NM_024426
WRN	NM_000553
XPA	NM_000380
XPC	NM_004628
BARD1	NM_000465
CDKN1B	NM_004064
POLE	NM_006231
POLD1	NM_002691
