### LOVD-version 3000-180 ### Transcripts Quick Download format ### This file can not be imported ###
# charset=UTF-8
"{{chromosome}}"	"{{geneid}}"	"{{name}}"	"{{id_ncbi}}"	"{{id_protein_ncbi}}"
"19"	"A1BG"	"alpha-1-B glycoprotein"	"NM_130786.3"	"NP_570602.2"
"19"	"A1BG-AS1"	"A1BG antisense RNA 1 (non-protein coding)"	"NR_015380.1"	""
"10"	"A1CF"	"transcript variant 1"	"NM_014576.3"	"NP_055391.2"
"13"	"A2LD1"	"transcript variant 2"	"NM_001195087.1"	"NP_001182016.1"
"12"	"A2M"	"alpha-2-macroglobulin"	"NM_000014.4"	"NP_000005.2"
"12"	"A2M-AS1"	"A2M antisense RNA 1"	"NR_026971.1"	""
"12"	"A2ML1"	"transcript variant 1"	"NM_144670.4"	"NP_653271.2"
"12"	"A2MP1"	"alpha-2-macroglobulin pseudogene 1"	"NR_040112.1"	""
"22"	"A4GALT"	"alpha 1,4-galactosyltransferase"	"NM_017436.4"	"NP_059132.1"
"3"	"A4GNT"	"alpha-1,4-N-acetylglucosaminyltransferase"	"NM_016161.2"	"NP_057245.1"
"12"	"AAAS"	"transcript variant 2"	"NM_001173466.1"	"NP_001166937.1"
"12"	"AACS"	"acetoacetyl-CoA synthetase"	"NM_023928.3"	"NP_076417.2"
"5"	"AACSP1"	"acetoacetyl-CoA synthetase pseudogene 1"	"NR_024035.1"	""
"3"	"AADAC"	"arylacetamide deacetylase (esterase)"	"NM_001086.2"	"NP_001077.2"
"3"	"AADACL2"	"arylacetamide deacetylase-like 2"	"NM_207365.3"	"NP_997248.2"
"1"	"AADACL3"	"transcript variant 2"	"NM_001103169.1"	"NP_001096639.1"
"1"	"AADACL4"	"arylacetamide deacetylase-like 4"	"NM_001013630.1"	"NP_001013652.1"
"4"	"AADAT"	"transcript variant 1"	"NM_016228.3"	"NP_057312.1"
"9"	"AAED1"	"AhpC/TSA antioxidant enzyme domain containing 1"	"NM_153698.1"	"NP_714542.1"
"15"	"AAGAB"	"alpha- and gamma-adaptin binding protein"	"NM_024666.3"	"NP_078942.3"
"2"	"AAK1"	"AP2 associated kinase 1"	"NM_014911.3"	"NP_055726.3"
"11"	"AAMDC"	"adipogenesis associated, Mth938 domain containing"	"NM_024684.2"	"NP_078960.1"
"2"	"AAMP"	"angio-associated, migratory cell protein"	"NM_001087.3"	"NP_001078.2"
"17"	"AANAT"	"transcript variant 2"	"NM_001088.2"	"NP_001079.1"
"16"	"AARS"	"alanyl-tRNA synthetase"	"NM_001605.2"	"NP_001596.2"
"6"	"AARS2"	"alanyl-tRNA synthetase 2, mitochondrial (putative)"	"NM_020745.2"	"NP_065796.1"
"17"	"AARSD1"	"alanyl-tRNA synthetase domain containing 1"	"NM_001261434.1"	"NP_001248363.1"
"4"	"AASDH"	"aminoadipate-semialdehyde dehydrogenase"	"NM_181806.2"	"NP_861522.2"
"11"	"AASDHPPT"	"aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase"	"NM_015423.2"	"NP_056238.2"
"7"	"AASS"	"aminoadipate-semialdehyde synthase"	"NM_005763.3"	"NP_005754.2"
"17"	"AATF"	"apoptosis antagonizing transcription factor"	"NM_012138.3"	"NP_036270.1"
"17"	"AATK"	"transcript variant 2"	"NM_004920.2"	"NP_004911.2"
"17"	"AATK-AS1"	"AATK antisense RNA 1"	"NR_027255.1"	""
"16"	"ABAT"	"transcript variant 1"	"NM_020686.5"	"NP_065737.2"
"9"	"ABCA1"	"ATP-binding cassette, sub-family A (ABC1), member 1"	"NM_005502.3"	"NP_005493.2"
"17"	"ABCA10"	"ATP-binding cassette, sub-family A (ABC1), member 10"	"NM_080282.3"	"NP_525021.3"
"4"	"ABCA11P"	"ATP-binding cassette, sub-family A (ABC1), member 11, pseudogene"	"NR_002451.2"	""
"2"	"ABCA12"	"transcript variant 1"	"NM_173076.2"	"NP_775099.2"
"7"	"ABCA13"	"ATP-binding cassette, sub-family A (ABC1), member 13"	"NM_152701.3"	"NP_689914.2"
"16"	"ABCA17P"	"ATP-binding cassette, sub-family A (ABC1), member 17, pseudogene"	"NR_003574.1"	""
